lng,lat,cl
114.171044489058,22.3090841784222,0
114.169008808329,22.3208117385436,0
114.171286055066,22.3032433723725,0
114.170757608204,22.3124852386486,0
114.169257142087,22.3198500624621,0
114.17859340926,22.2977662903113,0
114.172314405441,22.2953851571439,0
114.17062997818,22.2953305600013,0
114.172205503453,22.3032883385774,0
114.176953858024,22.3023530827787,0
114.18011525163,22.2992415995495,0
114.171659946442,22.3047209547821,0
114.17521390885,22.2957015240636,0
114.167608317316,22.3092276369708,0
114.166896343231,22.305971636259,0
114.169508752847,22.2949126575267,0
114.173901474661,22.3163042544865,0
114.169257142087,22.3198500624621,0
114.166229112596,22.3189769057603,0
114.171840233761,22.2987691052372,0
114.168456728975,22.2994579531794,0
114.170387699269,22.3138114238621,0
114.171295166016,22.3090089589306,0
114.172410964966,22.3057036340283,0
114.172752780412,22.3200481597978,0
114.163913726807,22.3161553398992,0
114.169008808329,22.3208117385436,0
114.164192676544,22.3258569590963,0
114.167339801734,22.3059186974866,0
114.167339801734,22.3059186974866,0
114.163420200348,22.3261398094856,0
114.165501594543,22.3217332330409,0
114.165914401656,22.3188303333405,0
114.162089824677,22.327231507365,0
114.155480499393,22.332442731076,0
114.172461638119,22.3058056300622,0
114.167851209641,22.3029640261719,0
114.176986813545,22.2968294919878,0
114.178128373602,22.3025535354601,0
114.156779050827,22.3349029251386,0
114.164031744003,22.3270975267215,0
114.168822169304,22.3223088748027,0
114.172461638119,22.3058056300622,0
114.182040095329,22.3236288719458,2
114.162304401398,22.3208598410059,0
114.155373139456,22.3358016159361,0
114.169330895656,22.319138046381,0
114.173821336454,22.3170391612082,0
114.173855781446,22.3172603523119,0
114.161867201328,22.3309953184172,0
114.131417688528,22.3412827797661,3
114.184856414795,22.3390510710044,4
114.170082276029,22.3171092873134,0
114.219513237476,22.3155672661117,5
114.191637039185,22.3168104065177,6
114.169428348541,22.3190931904071,0
114.174106121391,22.325577416739,0
114.163956642151,22.3025967558167,0
114.163870811462,22.3105772238599,0
114.167261123657,22.2962835252452,0
114.17128443718,22.3073811210078,0
114.171200701967,22.309258770507,0
114.171917438507,22.2993806174008,0
114.16797637994,22.3093332013082,0
114.171724319458,22.318755737749,0
114.172096598168,22.2987409422357,0
114.179375824174,22.298389050847,0
114.188130361826,22.3383218994221,4
114.175155766464,22.2955990682529,0
114.169755998417,22.2978840436209,0
114.168516397476,22.3003137022202,0
114.168087244034,22.3029838785961,0
114.16741669178,22.2996585582115,0
114.169857501984,22.3179617282763,0
114.168696467094,22.3191374345861,0
114.172467291355,22.3026960181701,0
114.165501594543,22.3222890251263,0
114.164063930511,22.3257428263207,0
114.195193648338,22.3324467279794,1558
114.165254831314,22.3046018416764,0
114.168608771783,22.319141918521,0
114.171724319458,22.3035298191538,0
114.161810874939,22.3275292416678,0
114.166939333783,22.3189045918972,0
114.170093536377,22.3161354893476,0
114.167187809917,22.3059153888694,0
114.169358611107,22.3192817665372,0
114.168440881387,22.2983206238046,0
114.172346591949,22.2963033786187,0
114.174198803958,22.3201066096475,0
114.171447946585,22.3068499170071,0
114.167046546936,22.3059815622577,0
114.163970880902,22.3171835785791,0
114.169149484463,22.3207952892571,0
114.168484210968,22.3235395492247,0
114.177078008652,22.3029540999588,0
114.174094445201,22.3168510810849,0
114.187560081482,22.3182396321055,6
114.175500869751,22.3185373855943,0
114.171674800025,22.3197652375215,0
114.169205725193,22.3342107284985,2080
114.193049473688,22.3451865016917,2097
114.157336950302,22.3345803966656,8
114.126732945442,22.3476694914395,2158
114.162019831892,22.3045002182154,0
114.195531606674,22.3330570597972,1558
114.160163998604,22.3308117202342,0
114.163098335266,22.3185770860115,0
114.159849938434,22.3291271802021,8
114.160343706608,22.3309928373623,0
114.174084663391,22.3170883126393,0
114.174009561539,22.3169890605165,0
114.168661236763,22.3227554917751,0
